Date,Code,Description,Unit of Measure,Value
2008/02,KBP6009D,Gross fixed capital formation (Investment),R millions,577411
2008/03,KBP6009D,Gross fixed capital formation (Investment),R millions,604986
2008/04,KBP6009D,Gross fixed capital formation (Investment),R millions,619509
2009/01,KBP6009D,Gross fixed capital formation (Investment),R millions,576222
2009/02,KBP6009D,Gross fixed capital formation (Investment),R millions,554497
2009/03,KBP6009D,Gross fixed capital formation (Investment),R millions,538820
2009/04,KBP6009D,Gross fixed capital formation (Investment),R millions,534409
2010/01,KBP6009D,Gross fixed capital formation (Investment),R millions,531278
2010/02,KBP6009D,Gross fixed capital formation (Investment),R millions,531834
2010/03,KBP6009D,Gross fixed capital formation (Investment),R millions,528591
2010/04,KBP6009D,Gross fixed capital formation (Investment),R millions,526021
2011/01,KBP6009D,Gross fixed capital formation (Investment),R millions,542401
2011/02,KBP6009D,Gross fixed capital formation (Investment),R millions,551872
2011/03,KBP6009D,Gross fixed capital formation (Investment),R millions,567786
2011/04,KBP6009D,Gross fixed capital formation (Investment),R millions,572963
2012/01,KBP6009D,Gross fixed capital formation (Investment),R millions,566251
2012/02,KBP6009D,Gross fixed capital formation (Investment),R millions,576797
2012/03,KBP6009D,Gross fixed capital formation (Investment),R millions,572294
2012/04,KBP6009D,Gross fixed capital formation (Investment),R millions,577897
2013/01,KBP6009D,Gross fixed capital formation (Investment),R millions,591533
2013/02,KBP6009D,Gross fixed capital formation (Investment),R millions,608484
2013/03,KBP6009D,Gross fixed capital formation (Investment),R millions,625248
2013/04,KBP6009D,Gross fixed capital formation (Investment),R millions,632743
2014/01,KBP6009D,Gross fixed capital formation (Investment),R millions,617710
2014/02,KBP6009D,Gross fixed capital formation (Investment),R millions,610561
2014/03,KBP6009D,Gross fixed capital formation (Investment),R millions,618033
2014/04,KBP6009D,Gross fixed capital formation (Investment),R millions,628842
2015/01,KBP6009D,Gross fixed capital formation (Investment),R millions,637953
2015/02,KBP6009D,Gross fixed capital formation (Investment),R millions,629880
2015/03,KBP6009D,Gross fixed capital formation (Investment),R millions,644549
2015/04,KBP6009D,Gross fixed capital formation (Investment),R millions,625777
2016/01,KBP6009D,Gross fixed capital formation (Investment),R millions,620222
2016/02,KBP6009D,Gross fixed capital formation (Investment),R millions,609071
2016/03,KBP6009D,Gross fixed capital formation (Investment),R millions,600249
2016/04,KBP6009D,Gross fixed capital formation (Investment),R millions,618903
2017/01,KBP6009D,Gross fixed capital formation (Investment),R millions,615058
2017/02,KBP6009D,Gross fixed capital formation (Investment),R millions,620742
2017/03,KBP6009D,Gross fixed capital formation (Investment),R millions,607466
2017/04,KBP6009D,Gross fixed capital formation (Investment),R millions,630799
2018/01,KBP6009D,Gross fixed capital formation (Investment),R millions,615553
2018/02,KBP6009D,Gross fixed capital formation (Investment),R millions,609647
2018/03,KBP6009D,Gross fixed capital formation (Investment),R millions,608540
2018/04,KBP6009D,Gross fixed capital formation (Investment),R millions,604717
2019/01,KBP6009D,Gross fixed capital formation (Investment),R millions,598424
2019/02,KBP6009D,Gross fixed capital formation (Investment),R millions,606981
2019/03,KBP6009D,Gross fixed capital formation (Investment),R millions,613116
2019/04,KBP6009D,Gross fixed capital formation (Investment),R millions,597190
2020/01,KBP6009D,Gross fixed capital formation (Investment),R millions,567016
2020/02,KBP6009D,Gross fixed capital formation (Investment),R millions,452570
2020/03,KBP6009D,Gross fixed capital formation (Investment),R millions,480311
2020/04,KBP6009D,Gross fixed capital formation (Investment),R millions,494223
