Date,Code,Description,Unit of Measure,Value
2001/03,KBP5010L,Balance of Payments: Trade balance,R millions,39388
2001/04,KBP5010L,Balance of Payments: Trade balance,R millions,45487
2002/01,KBP5010L,Balance of Payments: Trade balance,R millions,49679
2002/02,KBP5010L,Balance of Payments: Trade balance,R millions,56187
2002/03,KBP5010L,Balance of Payments: Trade balance,R millions,47140
2002/04,KBP5010L,Balance of Payments: Trade balance,R millions,47982
2003/01,KBP5010L,Balance of Payments: Trade balance,R millions,39791
2003/02,KBP5010L,Balance of Payments: Trade balance,R millions,26432
2003/03,KBP5010L,Balance of Payments: Trade balance,R millions,28447
2003/04,KBP5010L,Balance of Payments: Trade balance,R millions,12058
2004/01,KBP5010L,Balance of Payments: Trade balance,R millions,17943
2004/02,KBP5010L,Balance of Payments: Trade balance,R millions,-7442
2004/03,KBP5010L,Balance of Payments: Trade balance,R millions,-2491
2004/04,KBP5010L,Balance of Payments: Trade balance,R millions,-12946
2005/01,KBP5010L,Balance of Payments: Trade balance,R millions,-6779
2005/02,KBP5010L,Balance of Payments: Trade balance,R millions,11109
2005/03,KBP5010L,Balance of Payments: Trade balance,R millions,-9347
2005/04,KBP5010L,Balance of Payments: Trade balance,R millions,-2987
2006/01,KBP5010L,Balance of Payments: Trade balance,R millions,-9160
2006/02,KBP5010L,Balance of Payments: Trade balance,R millions,-19750
2006/03,KBP5010L,Balance of Payments: Trade balance,R millions,-5035
2006/04,KBP5010L,Balance of Payments: Trade balance,R millions,-63103
2007/01,KBP5010L,Balance of Payments: Trade balance,R millions,9134
2007/02,KBP5010L,Balance of Payments: Trade balance,R millions,-32832
2007/03,KBP5010L,Balance of Payments: Trade balance,R millions,-43448
2007/04,KBP5010L,Balance of Payments: Trade balance,R millions,-5638
2008/01,KBP5010L,Balance of Payments: Trade balance,R millions,-11994
2008/02,KBP5010L,Balance of Payments: Trade balance,R millions,-19902
2008/03,KBP5010L,Balance of Payments: Trade balance,R millions,-30547
2008/04,KBP5010L,Balance of Payments: Trade balance,R millions,4351
2009/01,KBP5010L,Balance of Payments: Trade balance,R millions,2451
2009/02,KBP5010L,Balance of Payments: Trade balance,R millions,41886
2009/03,KBP5010L,Balance of Payments: Trade balance,R millions,43222
2009/04,KBP5010L,Balance of Payments: Trade balance,R millions,24857
2010/01,KBP5010L,Balance of Payments: Trade balance,R millions,32733
2010/02,KBP5010L,Balance of Payments: Trade balance,R millions,54831
2010/03,KBP5010L,Balance of Payments: Trade balance,R millions,57615
2010/04,KBP5010L,Balance of Payments: Trade balance,R millions,93797
2011/01,KBP5010L,Balance of Payments: Trade balance,R millions,67400
2011/02,KBP5010L,Balance of Payments: Trade balance,R millions,61648
2011/03,KBP5010L,Balance of Payments: Trade balance,R millions,55160
2011/04,KBP5010L,Balance of Payments: Trade balance,R millions,12644
2012/01,KBP5010L,Balance of Payments: Trade balance,R millions,-3678
2012/02,KBP5010L,Balance of Payments: Trade balance,R millions,-30419
2012/03,KBP5010L,Balance of Payments: Trade balance,R millions,-56892
2012/04,KBP5010L,Balance of Payments: Trade balance,R millions,-56171
2013/01,KBP5010L,Balance of Payments: Trade balance,R millions,-63260
2013/02,KBP5010L,Balance of Payments: Trade balance,R millions,-68417
2013/03,KBP5010L,Balance of Payments: Trade balance,R millions,-109916
2013/04,KBP5010L,Balance of Payments: Trade balance,R millions,-36039
2014/01,KBP5010L,Balance of Payments: Trade balance,R millions,-60245
2014/02,KBP5010L,Balance of Payments: Trade balance,R millions,-96241
2014/03,KBP5010L,Balance of Payments: Trade balance,R millions,-49292
2014/04,KBP5010L,Balance of Payments: Trade balance,R millions,-13706
2015/01,KBP5010L,Balance of Payments: Trade balance,R millions,-60122
2015/02,KBP5010L,Balance of Payments: Trade balance,R millions,-7863
2015/03,KBP5010L,Balance of Payments: Trade balance,R millions,-49208
2015/04,KBP5010L,Balance of Payments: Trade balance,R millions,-71081
2016/01,KBP5010L,Balance of Payments: Trade balance,R millions,-37948
2016/02,KBP5010L,Balance of Payments: Trade balance,R millions,70347
2016/03,KBP5010L,Balance of Payments: Trade balance,R millions,37047
2016/04,KBP5010L,Balance of Payments: Trade balance,R millions,53718
2017/01,KBP5010L,Balance of Payments: Trade balance,R millions,52725
2017/02,KBP5010L,Balance of Payments: Trade balance,R millions,37116
2017/03,KBP5010L,Balance of Payments: Trade balance,R millions,86080
2017/04,KBP5010L,Balance of Payments: Trade balance,R millions,83832
2018/01,KBP5010L,Balance of Payments: Trade balance,R millions,-9844
2018/02,KBP5010L,Balance of Payments: Trade balance,R millions,24948
2018/03,KBP5010L,Balance of Payments: Trade balance,R millions,10206
2018/04,KBP5010L,Balance of Payments: Trade balance,R millions,71815
2019/01,KBP5010L,Balance of Payments: Trade balance,R millions,42301
2019/02,KBP5010L,Balance of Payments: Trade balance,R millions,-31495
2019/03,KBP5010L,Balance of Payments: Trade balance,R millions,43992
2019/04,KBP5010L,Balance of Payments: Trade balance,R millions,102486
2020/01,KBP5010L,Balance of Payments: Trade balance,R millions,199570
2020/02,KBP5010L,Balance of Payments: Trade balance,R millions,63932
2020/03,KBP5010L,Balance of Payments: Trade balance,R millions,450877
2020/04,KBP5010L,Balance of Payments: Trade balance,R millions,425169
